week,pnl_gross,turnover,cost,pnl_net,gross_exposure
2018-06-18,-0.0007634445365166736,0.08399999999999999,8.399999999999998e-05,-0.0008474445365166736,0.16799999999999998
2018-06-25,0.003959178445913117,0.055999999999999994,5.599999999999999e-05,0.003903178445913117,0.19199999999999998
2018-07-02,0.004175155488596996,0.06999999999999999,7e-05,0.004105155488596996,0.148
2018-07-09,-0.007236847963965912,0.06999999999999999,7e-05,-0.007306847963965911,0.16799999999999998
2018-07-16,0.00037188868555138293,0.055999999999999994,5.599999999999999e-05,0.0003158886855513829,0.144
2018-07-23,0.0004436539477755187,0.068,6.8e-05,0.00037565394777551865,0.19199999999999998
2018-07-30,-0.011496881116460703,0.0,0.0,-0.011496881116460703,0.19199999999999998
2018-08-06,0.0026651404525150197,0.055999999999999994,5.599999999999999e-05,0.0026091404525150196,0.16799999999999998
2018-08-13,-0.006668160803130766,0.08399999999999999,8.399999999999998e-05,-0.006752160803130766,0.216
2018-08-20,-0.0024557755068250653,0.092,9.199999999999999e-05,-0.0025477755068250654,0.19199999999999998
2018-08-27,-0.004140210943197659,0.027999999999999997,2.7999999999999996e-05,-0.004168210943197659,0.19199999999999998
2018-09-03,0.004955965240708789,0.055999999999999994,5.599999999999999e-05,0.00489996524070879,0.19199999999999995
2018-09-10,0.039101039385125574,0.08399999999999999,8.399999999999998e-05,0.039017039385125574,0.216
2018-09-17,0.0005357785879841158,0.12399999999999999,0.00012399999999999998,0.00041177858798411584,0.14399999999999996
2018-09-24,0.0039286920789474485,0.027999999999999997,2.7999999999999996e-05,0.0039006920789474487,0.16799999999999998
2018-10-01,0.0016578721224673877,0.0,0.0,0.0016578721224673877,0.16799999999999998
2018-10-08,-0.007237002946728799,0.0,0.0,-0.007237002946728799,0.16799999999999998
2018-10-15,3.738295582178853e-05,0.07999999999999999,7.999999999999998e-05,-4.261704417821145e-05,0.19199999999999998
2018-10-22,0.0004100608762793676,0.0,0.0,0.0004100608762793676,0.19199999999999998
